original_english,target_spanish,translation1,translation2,rouge1_f1_1,rouge1_f1_2,rouge2_f1_1,rouge2_f1_2,rougeL_f1_1,rougeL_f1_2,len_trans1,len_trans2,len_target,len_diff_abs,len_diff_pct1,len_diff_pct2,overlap_with_target1,overlap_with_target2,overlap_between_translations,divergence_score
"Several conditions may cause increased pressure in the skull, including:","Varias afecciones pueden provocar aumento de la presión intracraneal, entre ellas:"," Varias condiciones pueden causar una presión aumentada en el cráneo, incluyendo:","Varias condiciones pueden causar un aumento de la presión en el cráneo, incluyendo:",0.32,0.5185185185185186,0.08695652173913043,0.32,0.32,0.5185185185185186,11,13,11,2,0.0,18.181818181818183,0.2727272727272727,0.5454545454545454,0.8181818181818182,2.5203162055335966
Recent open heart surgery,Cirugía reciente a corazón abierto, Cirugía cardíaca abierta reciente.,La cirugía cardiaca abierta reciente del corazón,0.4615384615384615,0.6250000000000001,0.1818181818181818,0.28571428571428575,0.4615384615384615,0.6250000000000001,4,7,5,3,20.0,40.0,0.2,0.4,0.2,2.4566433566433568
Potatoes that are not green and have had any sprouts removed are safe to eat.,Las papas (patatas) que no estén verdes y a las que se les hayan quitado brotes o retoños se pueden comer sin problema., Las papas que no tengan un color verde y que hayan tenido cualquier brote eliminado son seguras de comer.,Las papas que no son verdes y de las cuales se han eliminado cualquier tallo son seguras para comer.,0.45454545454545453,0.40909090909090906,0.14285714285714288,0.14285714285714288,0.45454545454545453,0.40909090909090906,19,19,23,0,17.391304347826086,17.391304347826086,0.2857142857142857,0.38095238095238093,0.5238095238095238,2.116883116883117
"It is important to have the teeth cleaned thoroughly.This may involve use of various tools to loosen and remove plaque and tartar from the teeth. Proper flossing and brushing is always needed, even after professional tooth cleaning, to reduce your risk of gum disease. Your dentist or hygienist will show you how to brush and floss properly.","Es importante hacerse una limpieza dental completa que puede involucrar el uso de diversos instrumentos o aparatos para aflojar y remover la placa y el sarro de los dientes. Siempre se necesita el cepillado y uso de seda dental apropiados, incluso después de realizarse una limpieza dental profesional, para reducir el riesgo de enfermedad periodontal."," Es importante tener los dientes limpios a fondo. Esto puede implicar el uso de diversas herramientas para aflojar y eliminar la placa y el sarro de los dientes. La frotación y la higiene oral adecuadas son siempre necesarias, incluso después de un cepillado profesional, para reducir su riesgo de enfermedad gengival. Su dentista o higienista le mostrará cómo cepillar y enjuagar correctamente.","Es importante tener los dientes limpios de manera exhaustiva. Esto puede implicar el uso de varias herramientas para aflojar y eliminar la placa y el sarro de los dientes. La frotación y cepillado adecuados siempre son necesarios, incluso después de una limpieza profesional de los dientes, para reducir su riesgo de enfermedad periodontal. Su dentista o higienista le mostrará cómo cepillar y fregar los dientes correctamente.",0.512396694214876,0.56,0.31932773109243695,0.3252032520325204,0.4628099173553719,0.496,62,66,55,4,12.727272727272727,20.0,0.55,0.6,1.025,2.0182755746926873
"If you have surgery, your sperm count will likely increase but it will not improve your chances of getting a woman pregnant.","Si le practican una cirugía, el conteo de espermatozoides probablemente se incrementará pero no mejorará las posibilidades de embarazar a una mujer."," Si tiene una operación, su recuento de espermatozoides probablemente aumentará pero no mejorará sus posibilidades de que una mujer se quede embarazada.","Si tienes cirugía, es probable que aumente tu conteo de espermatozoides, pero no mejorará tus posibilidades de quedar embarazada.",0.5652173913043478,0.5116279069767442,0.2727272727272727,0.2926829268292683,0.5217391304347826,0.5116279069767442,22,19,22,3,0.0,13.636363636363635,0.5,0.4,0.4,1.9620553359683794
"Stridor is an abnormal, high-pitched, musical breathing sound caused by a blockage in the throat or voice box (larynx).It is usually heard when taking in a breath.","Es un sonido respiratorio anormal, chillón y musical causado por un bloqueo en la garganta o la laringe y generalmente se escucha al inhalar."," El estertor es un sonido respiratorio anormal, agudo y musical causado por una obstrucción en la garganta o caja de voz (laringe). Suele escucharse cuando se toma una bocanada de aire.","El estrido es un sonido anormal, agudo y musical de la respiración causado por una obstrucción en la garganta o en la caja de la voz (laringe). Se escucha generalmente al tomar una bocanada de aire.",0.5614035087719298,0.6031746031746031,0.3636363636363636,0.26229508196721313,0.5263157894736842,0.5396825396825397,31,36,24,5,29.166666666666668,50.0,0.6190476190476191,0.6666666666666666,1.0476190476190477,1.9559125085440876
"CPR can be lifesaving, but it is best done by someone trained in an accredited CPR course.","La RCP puede salvar vidas, pero la realiza mejor alguien que haya recibido entrenamiento para tal fin en un curso acreditado."," La RCP puede ser salvadora de vidas, pero es mejor que la realice alguien capacitado en un curso de RCP acreditado.","La reanimación cardiopulmonar (CPR) puede ser salvaje la vida, pero es mejor que se realice por alguien capacitado en un curso de reanimación cardiopulmonar acreditado.",0.6190476190476191,0.5,0.25,0.13043478260869565,0.5238095238095238,0.4166666666666667,21,25,21,4,0.0,19.047619047619047,0.6190476190476191,0.5238095238095238,0.7619047619047619,1.9119047619047618
"In many cases it will prevent you from getting sick.For example, a person who has had chickenpox or has been immunized against chickenpox is immune from getting chickenpox again.Watch this video about:Immune response","Por ejemplo, un individuo que haya padecido o que haya sido vacunado contra la varicela es inmune a contraer esta enfermedad de nuevo.Mire éste video sobre:Respuesta inmunológica"," En muchos casos, previene que usted se enferme. Por ejemplo, una persona que ha tenido varicela o ha sido inmunizada contra la varicela está inmune a volver a contraer varicela. Mire este video sobre: respuesta inmunitaria","En muchos casos, puede prevenir que se enferme. Por ejemplo, una persona que ha tenido varicela o ha sido vacunada contra la varicela es inmune a contraer varicela de nuevo. Mire este video sobre: Respuesta inmunológica",0.4848484848484848,0.626865671641791,0.21875000000000003,0.39999999999999997,0.45454545454545453,0.5970149253731343,36,36,27,0,33.33333333333333,33.33333333333333,0.48,0.6,0.96,1.8164015151515152
"This test is done during a hospital stay.  It tells the difference between someone who is making urine because of drinking a lot of liquid and someone who is not.  If you have central diabetes insipidus, you will still make a lot of urine even when fluids are not given. ",Esta prueba se efectúa durante una estadía en el hospital.Ésta establece la diferencia entre alguien que está produciendo orina por beber mucho líquido y alguien que no lo está haciendo.," Este examen se realiza durante una estancia hospitalaria. Le dice la diferencia entre alguien que está haciendo orina porque bebe mucha cantidad de líquido y alguien que no lo hace. Si tiene diabetes insípida central, seguirá haciendo mucha orina incluso cuando no se le dan líquidos.","Esta prueba se realiza durante una estancia hospitalaria. Indica la diferencia entre alguien que produce orina debido a la ingesta de grandes cantidades de líquido y alguien que no lo hace. Si tiene diabetes insípida central, seguirá produciendo mucha orina incluso cuando no se le administran fluidos.",0.4578313253012048,0.48192771084337355,0.32098765432098764,0.32098765432098764,0.4337349397590361,0.4337349397590361,46,47,30,1,53.333333333333336,56.666666666666664,0.5185185185185185,0.5925925925925926,1.037037037037037,1.802662501859289
"Screening women with pelvic ultrasound or blood tests, such as the Ca-125 has not been found to be effective and is not recommended.","El hecho de examinar a las mujeres con ecografías de la pelvis o exámenes de sangre, como el CA-125, no se ha comprobado que sea eficaz y tampoco se recomienda."," La detección de mujeres con ultrasonido pélvico o pruebas de sangre, como la CA-125 no ha demostrado ser efectiva y no se recomienda.","La exploración de mujeres con ultrasonido pélvico o pruebas de sangre, como la Ca-125, no ha demostrado ser efectiva y no se recomienda.",0.5084745762711863,0.5084745762711863,0.2456140350877193,0.2456140350877193,0.47457627118644075,0.47457627118644075,23,23,30,0,23.333333333333332,23.333333333333332,0.4444444444444444,0.4444444444444444,0.7037037037037037,1.80146694419665
How well you do depends on the amount of poison swallowed and how quickly treatment is received.,Su pronóstico depende de la cantidad de tóxico ingerido y de la prontitud con que se haya recibido el tratamiento., La recuperación depende del cantidad de veneno ingerido y la rapidez con que se recibe el tratamiento.,La efectividad del tratamiento depende de la cantidad de veneno ingerido y la rapidez con que se recibe el tratamiento.,0.6,0.6190476190476191,0.2631578947368421,0.4,0.55,0.6190476190476191,17,20,20,3,15.0,0.0,0.6470588235294118,0.6470588235294118,0.9411764705882353,1.789783281733746
"The mother may fake symptoms of illness in her child by adding blood to the child's urine or stool, withholding food, falsifying fevers, secretly giving the child drugs to make the child throw up or have diarrhea, or using other tricks, such as infecting intravenous (given through a vein) lines to make the child appear or become ill.","La madre puede simular síntomas de enfermedad en su hijo añadiendo sangre a su orina o heces, dejando de alimentarlo, falsificando fiebres, administrándole secretamente fármacos que le produzcan vómito o diarrea o empleando otros trucos como infectar las vías intravenosas (a través de una vena) para que el niño aparente o en realidad resulte enfermo."," La madre puede fingir síntomas de enfermedad en su hijo agregando sangre a la orina o las heces del niño, privando al niño de alimentos, falsificando fiebres, dándole secretamente medicamentos para hacer que el niño vomite o tenga diarrea, o utilizando otros trucos, como infectar líneas intravenosas (administradas a través de una vena) para hacer que el niño parezca enfermo o se ponga enfermo.","La madre puede fingir síntomas de enfermedad en su hijo al agregar sangre a la orina o heces del niño, retener alimentos, falsificar fiebres, darle medicamentos secretamente para hacer que el niño tenga vómitos o diarrea, o utilizando otros trucos, como infectar líneas intravenosas (administradas a través de una vena) para hacer que el niño aparezca o se vuelva enfermo.",0.6370370370370372,0.6307692307692307,0.37593984962406013,0.421875,0.6222222222222222,0.6307692307692307,64,60,55,4,16.363636363636363,9.090909090909092,0.6170212765957447,0.574468085106383,0.9148936170212766,1.770001836743158
"Laparoscopic repair: Your surgeon will make 3 - 5 small cuts in your belly.Your surgeon will insert a laparoscope (a thin, hollow tube with a tiny camera on the end) through one of these cuts and other tools through the other cuts.",Reparación laparoscópica: el cirujano hará de 3 a 5 incisiones pequeñas en el abdomen e introducirá un laparoscopio (un tubo delgado y hueco con una cámara diminuta en el extremo) a través de una de estas incisiones y otras herramientas a través de las otras incisiones., Su cirujano hará 3 a 5 pequeñas incisiones en su abdomen. Su cirujano insertará un laparoscopio (un tubo delgado y hueco con una cámara diminuta en el extremo) por una de estas incisiones y otros instrumentos por las otras incisiones.,"La reparación laparoscópica: Su cirujano hará entre 3 y 5 cortes pequeños en su barriga. Su cirujano insertará un laparoscopio (un tubo delgado, hueco con una cámara diminuta en el extremo) a través de uno de estos cortes y otras herramientas a través de los otros cortes.",0.7021276595744681,0.7047619047619047,0.5217391304347826,0.5048543689320388,0.6808510638297872,0.6857142857142857,40,47,46,7,13.043478260869565,2.1739130434782608,0.7878787878787878,0.696969696969697,0.7272727272727273,1.6882544221119613
"Some substances that are found to be harmful to people or animals may still be allowed, but only at the level of 1/100th of the amount that is considered harmful.People with any allergies or food intolerances should always check the ingredient list (label) for their own protection.","Es posible que algunas sustancias que se consideran dañinas para las personas y los animales sean admitidas sólo a nivel de una centésima parte de la cantidad que se considera peligrosa. Para su propia protección, las personas con alergia o intolerancia a algún tipo de alimento deben revisar siempre la lista de ingredientes (etiqueta)."," Algunas sustancias que se encuentran dañinas para las personas o los animales pueden permitirse todavía, pero solo al nivel de 1/100 de la cantidad considerada dañina.Las personas con cualquier alergia o intolerancia alimentaria deben revisar siempre la lista de ingredientes (etiqueta) por su propia protección.","Algunas sustancias que se encuentran dañinas para las personas o los animales pueden aún estar permitidas, pero solo a un nivel de 1/100 de la cantidad considerada dañina. Las personas con cualquier alergia o intolerancia alimentaria deben revisar siempre la lista de ingredientes (etiqueta) por su propia protección.",0.6363636363636364,0.6607142857142857,0.46296296296296297,0.45454545454545453,0.5636363636363636,0.5535714285714286,45,48,54,3,16.666666666666664,11.11111111111111,0.5454545454545454,0.5681818181818182,0.8181818181818182,1.6552188552188551
"If obesity prevents you from being physically able to inspect your feet, ask a family member, neighbor, or visiting nurse to perform this important check.","Si la obesidad le impide físicamente poder revisarse los pies, solicítele a un familiar, un vecino o una enfermera visitadora que le realice esta importante inspección."," Si el sobrepeso te impide ser físicamente capaz de inspeccionar tus pies, pide a un familiar, vecino o enfermera visitante que realice esta importante verificación.","Si la obesidad te impide ser físicamente capaz de inspeccionar tus pies, pídele a un familiar, vecino o enfermera visitante que realice esta importante revisión.",0.5714285714285714,0.6315789473684211,0.22222222222222224,0.2909090909090909,0.5714285714285714,0.6315789473684211,25,25,26,0,3.8461538461538463,3.8461538461538463,0.5833333333333334,0.6666666666666666,0.875,1.623015873015873
"A uniform brown color is usually seen over the cheeks, forehead, nose, or upper lip.It is most often symmetrical (matching on both sides of the face).","Usualmente, se observa un color café uniforme en las mejillas, en la frente, en la nariz y en el labio superior y, con mucha frecuencia, es simétrico (igual en ambos lados de la cara)."," Se observa generalmente un color marrón uniforme sobre las mejillas, frente, nariz o labio superior. Es más común que sea simétrico (igual en ambos lados de la cara).","Se observa generalmente un color marrón uniforme sobre las mejillas, la frente, la nariz o el labio superior. Es más a menudo simétrico (igual en ambos lados de la cara).",0.626865671641791,0.7058823529411764,0.36923076923076925,0.45454545454545453,0.626865671641791,0.7058823529411764,28,30,34,2,17.647058823529413,11.76470588235294,0.6071428571428571,0.6428571428571429,0.8928571428571429,1.5967607019845826
"Tretinoin (Retin-A) or creams containing alpha-hydroxy acids may be recommended, but these aren't guaranteed to help.","Se puede recomendar la tretinoína (Retin-A) o cremas que contengan alfa-hidroxiácidos, pero no hay garantía de que sirvan."," Se pueden recomendar tretinoína (Retin-A) o cremas que contengan ácidos hídricos alfa, pero estos no están garantizados para ayudar.","Se pueden recomendar la tretinoína (Retin-A) o cremas que contengan ácidos hidroxiácidos alfa, pero estos no están garantizados para ayudar.",0.6086956521739131,0.6808510638297872,0.3181818181818182,0.4444444444444445,0.5652173913043478,0.6382978723404256,19,20,18,1,5.555555555555555,11.11111111111111,0.5882352941176471,0.6470588235294118,1.0588235294117647,1.584887235526622
"In January 2001, the FDA's Center for Food Safety and Applied Nutrition proposed that developers of bioengineered food submit scientific and safety information to the FDA at least 120 days before the food is marketed.","En enero de 2001, el Centro para la Nutrición Aplicada y la Seguridad en los Alimentos de la FDA (FDA´sCenter for Food Safety and Applied Nutrition ) propuso que quienes desarrollen alimentos procesados genéticamente envíen información científica y de seguridad a la FDA al menos 120 días antes de que el producto salga al mercado."," En enero de 2001, el Centro para la Seguridad y Nutrición Aplicada de Alimentos (Centro de Alimentos) de la Administración de Drogas y Alimentos (FDA) propuso que los desarrolladores de alimentos bioengenierados presentaran información científica y de seguridad a la FDA al menos 120 días antes de que el alimento se comercialice.","En enero de 2001, el Centro para la Seguridad Alimentaria y Nutrición Aplicada de la Administración de Alimentos y Medicamentos (AAM) propuso que los desarrolladores de alimentos bioingenierados presenten información científica y de seguridad a la AAM al menos 120 días antes de que se comercialice el alimento.",0.6779661016949152,0.6666666666666666,0.5344827586206896,0.48214285714285715,0.6271186440677966,0.5964912280701753,52,48,55,4,5.454545454545454,12.727272727272727,0.6136363636363636,0.5909090909090909,0.6590909090909091,1.5739147760480314
"An extradural hemorrhage is bleeding between the inside of the skull and the outer covering of the brain (called the ""dura"").","Es un sangrado entre la parte interior del cráneo y la cubierta externa del cerebro, denominada ""duramadre"".","Una hemorragia extradural es sangrado entre el interior del cráneo y la cubierta exterior del cerebro (llamada \""dura\"").",La hemorragia extradural es sangrado entre el interior del cráneo y la cubierta externa del cerebro (llamada la 'dura mater').,0.6486486486486486,0.717948717948718,0.45714285714285713,0.5405405405405405,0.6486486486486486,0.6666666666666666,18,20,17,2,5.88235294117647,17.647058823529413,0.5333333333333333,0.6,0.9333333333333333,1.560875160875161
"Deficiency happens more often in women than in men, and is more common in pregnant women and older children. Getting enough iodine in the diet may prevent a form of physical and mental retardation called cretinism.Cretinism is very rare in the U.S. because iodine deficiency is generally not a problem.","Esta deficiencia afecta con más frecuencia a las mujeres que a los hombres y es más común en mujeres embarazadas y niños mayores. La ingesta de yodo suficiente en la dieta puede prevenir una forma de retardo mental y físico llamada cretinismo, una afección muy rara en los Estados Unidos, dado que la deficiencia de yodo, en general, no representa un problema."," La deficiencia ocurre más a menudo en mujeres que en hombres, y es más común en mujeres embarazadas y niños mayores. Obtener suficiente yodo en la dieta puede prevenir una forma de retraso físico y mental llamada cretinismo. El cretinismo es muy raro en los EE.UU. porque la deficiencia de yodo no suele ser un problema.","La deficiencia de yodo ocurre con mayor frecuencia en mujeres que en hombres, y es más común en mujeres embarazadas y niños mayores. Obtener suficiente yodo en la dieta puede prevenir una forma de retraso físico y mental llamado cretinismo. El cretinismo es muy raro en los EE.UU. debido a que la deficiencia de yodo no es generalmente un problema.",0.7384615384615385,0.7368421052631577,0.46875,0.45801526717557256,0.6615384615384615,0.6315789473684211,56,60,62,4,9.67741935483871,3.225806451612903,0.6382978723404256,0.6595744680851063,0.8085106382978723,1.5544905891980358
Complete bed rest for several days is usually recommended.,Generalmente se recomienda guardar reposo completo durante algunos días., Normalmente se recomienda reposo en cama completo durante varios días.,Se recomienda reposo en cama durante varios días.,0.6666666666666666,0.631578947368421,0.3157894736842105,0.23529411764705882,0.6666666666666666,0.631578947368421,10,8,9,2,11.11111111111111,11.11111111111111,0.6666666666666666,0.4444444444444444,0.7777777777777778,1.550877192982456
"You can take the tooth to the dentist by following one of these tips:Try to place the tooth back in the mouth where it fell out, so it is level with other teeth. Bite down gently on gauze or a wet tea bag to help keep it in place. Be careful not to swallow the tooth.","Trate de colocar de nuevo el diente en la boca de donde se desprendió, de manera que quede a nivel con los otros dientes. Muerda suavemente una gasa o una bolsita de té húmeda para ayudarlo a mantenerse en su sitio. Tenga cuidado de no tragarse el diente.","Puede llevar el diente al dentista siguiendo una de las siguientes recomendaciones: Trate de colocar el diente nuevamente en la boca donde se cayó, para que esté a nivel con los demás dientes. Mordisque un trapo o una bolsa de té húmeda suavemente para ayudarlo a mantenerse en su lugar. Ten cuidado de no tragar el diente."" 
}","Puede llevar el diente al odontólogo siguiendo una de estas recomendaciones: Intenta colocar el diente nuevamente en la boca donde cayó, de modo que esté a nivel con los demás dientes. Muerde suavemente sobre gasas o una taza de té húmeda para ayudar a mantenerlo en su lugar. Ten cuidado de no tragar el diente.",0.6666666666666667,0.6168224299065421,0.39622641509433965,0.3047619047619048,0.611111111111111,0.5981308411214952,58,55,48,3,20.833333333333336,14.583333333333334,0.6923076923076923,0.6153846153846154,0.8974358974358975,1.5447992259313013
"You may occasionally eat lean, 3-ounce cuts of red meat.","Ocasionalmente, se pueden utilizar cortes magros de carne roja de 3 onzas (85 gramos).", Puede comer ocasionalmente trozos de carne roja magros de 3 onzas.,Puede comer ocasionalmente trozos magros de carne roja de 3 onzas.,0.64,0.64,0.4347826086956522,0.5217391304347826,0.56,0.64,11,11,14,0,21.428571428571427,21.428571428571427,0.38461538461538464,0.38461538461538464,0.7692307692307693,1.5406020066889632
Abnormal heart sounds,Ruidos cardíacos anormales, Sonidos cardíacos anormales,Sonidos cardíacos anormales se detectaron durante la auscultación cardíaca.,0.75,0.375,0.6666666666666666,0.28571428571428575,0.75,0.375,3,9,3,6,0.0,200.0,0.6666666666666666,0.6666666666666666,1.0,1.5166666666666666
"However, as a general rule, once a substance causes allergies for an individual, it can continue to affect the person long term.","Sin embargo, como regla general, una vez que una sustancia causa alergia a un individuo, puede continuar afectándolo durante largo tiempo."," Sin embargo, como regla general, una vez que un sujeto causa alergias en una persona, puede afectar a la persona a largo plazo.","Sin embargo, como regla general, una vez que una sustancia causa alergias en un individuo, puede seguir afectándolo a largo plazo.",0.6666666666666666,0.8636363636363636,0.37209302325581395,0.6666666666666666,0.5333333333333332,0.8181818181818182,23,21,21,2,9.523809523809524,0.0,0.65,0.8,0.8,1.5112403100775196
"Waxy, yellow surface",Superficie amarillenta y cerosa, Superficie cerosa y amarilla,Superficie cerosa y amarilla,0.75,0.75,0.0,0.0,0.5,0.5,4,4,4,0,0.0,0.0,0.75,0.75,1.0,1.5
"People who have a sudden herniated disk caused by injury (such as a car accident or lifting a very heavy object) will get nonsteroidal anti-inflammatory medications (NSAIDs) and narcotic painkillers if they have severe pain in the back and leg.If you have back spasms, you will usually receive muscle relaxants.","A las personas con una hernia de disco repentina, causada por lesión (como un accidente automovilístico o por levantar un objeto muy pesado), se les administrarán analgésicos narcóticos y antinflamatorios no esteroides (AINES) si tienen dolor intenso en la espalda y la pierna."," Las personas que tengan una hernia de disco repentino causada por lesión (como un accidente de automóvil o levantar un objeto muy pesado) recibirán medicamentos antiinflamatorios no esteroideos (AINEs) y analgésicos narcóticos si tienen dolor severo en la espalda y la pierna. Si tiene espasmos musculares, generalmente recibirá relajantes musculares.","Las personas que tienen un disco herniado causado por lesión (como un accidente de coche o levantar un objeto muy pesado) recibirán medicamentos no esteroides antiinflamatorios (NEAIs) y analgésicos narcóticos si tienen dolor severo en la espalda y pierna. Si tienes espasmos musculares, generalmente recibirás relajantes musculares.",0.6990291262135923,0.64,0.4752475247524752,0.38775510204081626,0.6407766990291262,0.5599999999999999,50,47,43,3,16.27906976744186,9.30232558139535,0.6666666666666666,0.6153846153846154,0.9230769230769231,1.4590566823672657
